year,"last_name, first_name",pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2024,"Greene, Hunter",668881,Reds,CIN,R,97.7,1187,2139,19.80555556,0.554932211,FF,4-Seam Fastball,12.2,-12.7,0.6,4,8.8,-7.6,1.2,16,0.681818182,0.648989899
2024,"Peralta, Freddy",642547,Brewers,MIL,R,94.4,1147,2121,19.63888889,0.54078265,FF,4-Seam Fastball,14.1,-15.7,1.6,10,6.8,-8.4,-1.6,-19,0.843434343,0.26010101
2024,"Gore, MacKenzie",669022,Nationals,WSH,L,96.3,1144,2078,19.06422018,0.550529355,FF,4-Seam Fastball,11.9,-13.5,1.7,12,5.8,-7.3,-1.5,-21,0.858585859,0.275252525
2024,"Abbott, Andrew",671096,Reds,CIN,L,92.9,1072,1963,18.17592593,0.546102904,FF,4-Seam Fastball,15.5,-15.8,0.3,2,8.9,-7.2,1.6,23,0.601010101,0.704545455
2024,"Rodón, Carlos",607074,Yankees,NYY,L,95.5,1048,2124,19.30909091,0.493408663,FF,4-Seam Fastball,12.3,-13.7,1.4,10,8.7,-7.1,1.6,23,0.808080808,0.704545455
2024,"Gausman, Kevin",592332,Blue Jays,TOR,R,94,1031,1998,18.33027523,0.516016016,FF,4-Seam Fastball,14.1,-15.3,1.1,7,11,-7.5,3.6,48,0.77020202,0.898989899
2024,"Crochet, Garrett",676979,White Sox,CWS,L,97,1011,1857,16.72972973,0.544426494,FF,4-Seam Fastball,13.5,-12.8,-0.6,-5,8.2,-7,1.1,16,0.401515152,0.628787879
2024,"Cease, Dylan",656302,Padres,SD,R,97,1003,2297,20.88181818,0.436656508,FF,4-Seam Fastball,10.7,-12.9,2.3,17,2.6,-7.4,-4.8,-65,0.936868687,0.053030303
2024,"Castillo, Luis",622491,Mariners,SEA,R,95.5,978,2206,20.05454545,0.443336355,FF,4-Seam Fastball,17.7,-17.3,-0.5,-3,12.1,-11.3,0.8,7,0.409090909,0.575757576
2024,"Heaney, Andrew",571760,Rangers,TEX,L,91.6,978,1857,17.03669725,0.526655897,FF,4-Seam Fastball,19.1,-18.4,-0.7,-4,15.6,-10.2,5.4,53,0.373737374,0.974747475
2024,"Kikuchi, Yusei",579328,Blue Jays,TOR,L,95.6,968,1955,17.93577982,0.495140665,FF,4-Seam Fastball,13.2,-14.8,1.6,11,7.7,-8.4,-0.7,-9,0.843434343,0.376262626
2024,"Cease, Dylan",656302,Padres,SD,R,87.7,967,2297,20.88181818,0.420983892,SL,Slider,33.6,-33.3,0.3,1,2.1,4.1,-2,-49,0.516447368,0.266447368
2024,"Cortes, Nestor",641482,Yankees,NYY,L,91.9,966,2138,19.43636364,0.451824135,FF,4-Seam Fastball,13.4,-16,2.5,16,4.9,-7.2,-2.3,-32,0.957070707,0.176767677
2024,"Gil, Luis",661563,Yankees,NYY,R,96.8,964,1923,17.48181818,0.501300052,FF,4-Seam Fastball,12.1,-13.4,1.4,10,5.5,-7.6,-2.1,-27,0.808080808,0.212121212
2024,"Harrison, Kyle",690986,Giants,SF,L,92.7,963,1592,14.47272727,0.604899497,FF,4-Seam Fastball,21.2,-17.8,-3.4,-19,14.6,-10.2,4.3,42,0.063131313,0.934343434
2024,"Ryan, Joe",657746,Twins,MIN,R,94,951,1970,18.41121495,0.482741117,FF,4-Seam Fastball,17.1,-17.5,0.3,2,11.7,-10.8,0.9,8,0.601010101,0.598484848
2024,"Nelson, Ryne",669194,D-backs,AZ,R,95,920,1700,15.59633028,0.541176471,FF,4-Seam Fastball,12.3,-14.1,1.8,13,5.8,-7,-1.2,-17,0.888888889,0.315656566
2024,"Paxton, James",572020,Red Sox,BOS,L,93.2,920,1613,15.07476636,0.570365778,FF,4-Seam Fastball,17.6,-15.2,-2.4,-16,10.5,-7,3.6,51,0.154040404,0.898989899
2024,"Burnes, Corbin",669203,Orioles,BAL,R,95.5,916,2084,19.11926606,0.439539347,FC,Cutter,16.4,-17.6,1.1,6,2.1,1.8,0.4,22,0.75625,0.63125
2024,"López, Reynaldo",625643,Braves,ATL,R,95.4,913,1626,15.19626168,0.561500615,FF,4-Seam Fastball,13.6,-14.3,0.7,5,7.2,-7.5,-0.2,-3,0.704545455,0.441919192
2024,"Hicks, Jordan",663855,Giants,SF,R,94.3,907,1791,16.28181818,0.506420994,SI,Sinker,25.2,-22.4,2.8,13,15.8,-14.9,0.9,6,0.833935018,0.646209386
2024,"Imanaga, Shota",684007,Cubs,CHC,L,91.8,902,1657,15.06363636,0.544357272,FF,4-Seam Fastball,14.4,-17,2.6,15,10.1,-8.2,1.9,24,0.964646465,0.73989899
2024,"Bibee, Tanner",676440,Guardians,CLE,R,94.6,902,2031,18.98130841,0.444116199,FF,4-Seam Fastball,14.4,-14.1,-0.2,-1,4,-6.8,-2.8,-41,0.462121212,0.143939394
2024,"Steele, Justin",657006,Cubs,CHC,L,91.6,900,1504,13.67272727,0.598404255,FF,4-Seam Fastball,19.1,-16.1,-3,-19,0.3,-6.7,-6.4,-96,0.088383838,0.022727273
2024,"Sánchez, Cristopher",650911,Phillies,PHI,L,94.4,886,1844,17.07407407,0.480477223,SI,Sinker,23.2,-20.4,2.8,14,17.7,-14.1,3.6,25,0.833935018,1
2024,"Ragans, Cole",666142,Royals,KC,L,95.7,878,2136,19.59633028,0.411048689,FF,4-Seam Fastball,13,-13.5,0.5,4,12.6,-7.1,5.5,77,0.664141414,0.977272727
2024,"Bassitt, Chris",605135,Blue Jays,TOR,R,92.6,878,2136,19.59633028,0.411048689,SI,Sinker,23.4,-24.2,-0.8,-3,16.4,-15.1,1.3,8,0.451263538,0.736462094
2024,"Webb, Logan",657277,Giants,SF,R,92.2,871,2241,20.37272727,0.388665774,SI,Sinker,31,-25.5,5.6,22,15,-15.4,-0.4,-3,0.971119134,0.306859206
2024,"Rodriguez, Grayson",680570,Orioles,BAL,R,96.1,871,1879,17.23853211,0.463544439,FF,4-Seam Fastball,13.9,-13.8,-0.1,-1,12.6,-7.6,5.1,67,0.492424242,0.967171717
2024,"Lynn, Lance",458681,Cardinals,STL,R,92.4,868,1857,17.19444444,0.467420571,FF,4-Seam Fastball,19.1,-16.4,-2.7,-17,3.9,-7.6,-3.7,-49,0.118686869,0.098484848
2024,"Singer, Brady",663903,Royals,KC,R,82.9,855,2004,18.3853211,0.426646707,SL,Slider,40.3,-38.5,1.9,5,4.4,6.9,-2.5,-36,0.720394737,0.203947368
2024,"Valdez, Framber",664285,Astros,HOU,L,93.9,852,1730,16.01851852,0.492485549,SI,Sinker,25.3,-22.7,2.6,11,16.6,-14.8,1.8,12,0.826714801,0.844765343
2024,"Wheeler, Zack",554430,Phillies,PHI,R,95.1,851,2075,19.21296296,0.410120482,FF,4-Seam Fastball,15.6,-15,-0.5,-4,9.5,-8.5,1,12,0.409090909,0.613636364
2024,"Houck, Tanner",656557,Red Sox,BOS,R,83.1,840,1979,18.4953271,0.424456796,ST,Sweeper,41.5,-38.9,2.6,7,16.9,14.4,2.6,18,0.741666667,0.833333333
2024,"Glasnow, Tyler",607192,Dodgers,LAD,R,96.3,829,1822,16.71559633,0.454994512,FF,4-Seam Fastball,12.7,-13.3,0.5,4,0.4,-6.5,-6,-93,0.664141414,0.035353535
2024,"Singer, Brady",663903,Royals,KC,R,92.2,817,2004,18.3853211,0.407684631,SI,Sinker,22.6,-25.1,-2.4,-10,14.4,-15.3,-0.9,-6,0.25631769,0.245487365
2024,"Quantrill, Cal",615698,Rockies,COL,R,93.8,814,2051,18.81651376,0.396879571,SI,Sinker,17.1,-20.8,-3.7,-18,11.2,-14.1,-2.9,-20,0.115523466,0.086642599
2024,"Anderson, Tyler",542881,Angels,LAA,L,89.2,811,2000,18.51851852,0.4055,FF,4-Seam Fastball,14.7,-16.8,2.1,12,4.2,-5.3,-1.1,-20,0.924242424,0.330808081
2024,"Miller, Bryce",682243,Mariners,SEA,R,95.1,804,1833,16.66363636,0.438625205,FF,4-Seam Fastball,12.2,-14.8,2.6,18,6.5,-7.9,-1.4,-18,0.964646465,0.297979798
2024,"López, Pablo",641154,Twins,MIN,R,94.7,790,2008,18.76635514,0.393426295,FF,4-Seam Fastball,15.7,-14.8,-1,-7,5.5,-7.7,-2.1,-28,0.313131313,0.212121212
2024,"Parker, Mitchell",680730,Nationals,WSH,L,92.5,776,1569,14.39449541,0.494582537,FF,4-Seam Fastball,14.7,-15.6,0.9,6,5.6,-6.8,-1.2,-17,0.732323232,0.315656566
2024,"Irvin, Jake",663623,Nationals,WSH,R,94.1,749,2042,18.73394495,0.366797258,FF,4-Seam Fastball,16.4,-14.9,-1.5,-10,9.8,-7.3,2.5,34,0.244949495,0.825757576
2024,"Sale, Chris",519242,Braves,ATL,L,78.7,743,1914,17.88785047,0.388192268,SL,Slider,49.4,-45.3,4.2,9,10.8,9.9,0.8,8,0.907894737,0.631578947
2024,"Greene, Hunter",668881,Reds,CIN,R,86.8,740,2139,19.80555556,0.345956054,SL,Slider,32.6,-34.3,-1.7,-5,6.3,4.5,1.8,39,0.263157895,0.726973684
2024,"Anderson, Tyler",542881,Angels,LAA,L,78.7,739,2000,18.51851852,0.3695,CH,Changeup,32.2,-36.6,-4.4,-12,12.7,-12.7,0,0,0.090534979,0.399176955
