year,"last_name, first_name",player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,"Gil, Luis",661563,R,CH,481,91.7,1726,16.3,0.857892333,0.878551858,225.0629754,254.8759917,Changeup,88,630,570,-29.81301631,29.81301631,60,10,30,9,30,1,0,10:30,9:30,+1H 00M
,"Sears, JP",676664,L,CH,324,84.3,1679,17.7,0.903927293,0.979407749,104.1578806,91.18156262,Changeup,98,150,180,12.97631797,12.97631797,-30,2,30,3,0,0,30,2:30,3:00,-0H 30M
,"Fried, Max",608331,L,CH,235,86.1,1446,13.7,0.779210292,0.864618384,133.9166456,106.0293034,Changeup,86,90,150,27.88734229,27.88734229,-60,1,30,2,30,1,0,1:30,2:30,-1H 00M
,"Moore, Matt",519043,L,CH,223,82.8,1934,18.9,0.900768653,0.974713393,109.4766612,109.1054375,Changeup,97,135,135,0.371223686,0.371223686,0,2,15,2,15,0,0,2:15,2:15, 0H 00M
,"Sale, Chris",519242,L,CH,266,87.2,1867,17,0.86391211,0.994580294,94.02247277,85.51680191,Changeup,99,165,195,8.505670864,8.505670864,-30,2,45,3,15,0,30,2:45,3:15,-0H 30M
,"Webb, Logan",657277,R,CH,636,87.3,1473,12.8,0.714091293,0.838498626,266.6485835,301.1320586,Changeup,84,540,480,-34.48347519,34.48347519,60,9,0,8,0,1,0,9:00,8:00,+1H 00M
,"Fedde, Erick",607200,R,CH,341,87.8,1718,12.2,0.636965469,0.689797668,223.8337229,259.0226711,Changeup,69,630,555,-35.18894821,35.18894821,75,10,30,9,15,1,15,10:30,9:15,+1H 15M
,"Lodolo, Nick",666157,L,CH,236,88,2053,18.9,0.910075127,0.944603109,106.5859853,88.48582027,Changeup,94,150,180,18.10016504,18.10016504,-30,2,30,3,0,0,30,2:30,3:00,-0H 30M
,"Miller, Erik",669062,L,CH,288,85.1,1785,16.7,0.82826454,0.983926582,96.89653553,92.78993525,Changeup,98,165,180,4.106600284,4.106600284,-15,2,45,3,0,0,15,2:45,3:00,-0H 15M
,"Blach, Ty",621389,L,CH,240,80.1,1971,14.8,0.794567058,0.995354401,87.52215353,77.19804101,Changeup,100,180,210,10.32411252,10.32411252,-30,3,0,3,30,0,30,3:00,3:30,-0H 30M
,"Ober, Bailey",641927,R,CH,413,83.4,2040,18.4,0.864925796,0.984467637,251.6226572,255.7955407,Changeup,98,570,570,-4.172883533,4.172883533,0,9,30,9,30,0,0,9:30,9:30, 0H 00M
,"Olson, Reese",681857,R,CH,360,86.4,1975,14.1,0.682051591,0.733550509,246.5220588,273.095879,Changeup,73,585,540,-26.57382021,26.57382021,45,9,45,9,0,0,45,9:45,9:00,+0H 45M
,"Pepiot, Ryan",686752,R,CH,310,86.1,2473,16.4,0.72351719,0.830804456,254.7863132,264.3827264,Changeup,83,570,555,-9.596413168,9.596413168,15,9,30,9,15,0,15,9:30,9:15,+0H 15M
,"Ragans, Cole",666142,L,CH,488,85.3,2177,20.1,0.93882586,0.989483952,124.1504429,124.0037619,Changeup,99,105,105,0.146681023,0.146681023,0,1,45,1,45,0,0,1:45,1:45, 0H 00M
,"Stone, Gavin",694813,R,CH,426,87.2,1667,15.2,0.804730312,0.984794183,241.3974565,254.3011822,Changeup,98,600,570,-12.90372571,12.90372571,30,10,0,9,30,0,30,10:00,9:30,+0H 30M
,"Thorpe, Drew",689672,R,CH,222,81.5,2114,19.3,0.891248613,0.979088879,223.5474701,226.3082298,Changeup,98,630,630,-2.760759743,2.760759743,0,10,30,10,30,0,0,10:30,10:30, 0H 00M
,"Weaver, Luke",596133,R,CH,242,88.5,1864,14.5,0.721455945,0.818512946,222.1525653,258.2310381,Changeup,82,630,570,-36.07847278,36.07847278,60,10,30,9,30,1,0,10:30,9:30,+1H 00M
,"Bello, Brayan",678394,R,CH,480,87.4,1808,17.2,0.865178175,0.988505914,250.5886161,264.7146673,Changeup,99,585,555,-14.12605116,14.12605116,30,9,45,9,15,0,30,9:45,9:15,+0H 30M
